Class,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
Row: Label:: Column: Sample,No1-1,No1-3,No6-1,No6-3,No11-1,No11-3,No16-1,No16-3,No21-1,No21-3,No31-1,No31-3,No36-1,No36-3,No41-1,No41-3,No46-1,No46-3,No51-1,No51-3
Unknown_101_Organic acid like,119,144,96,48,58,79,133,113,127,105,90,131,86,92,120,139,148,119,103,106
Melibiose_1_Major::C05402,467,485,502,455,425,383,422,435,373,397,395,419,488,477,450,469,450,412,412,429
Unknown_102,1604,1903,1761,1865,1596,1682,1626,1727,1587,1670,1580,1794,1824,1905,1793,1733,1635,1635,1663,1674
Unknown_103,36405,43734,40660,43578,36719,39520,36974,40661,36208,38915,35835,40922,42288,44278,41173,41001,37702,38419,37475,39127
Epicatechin::C09727(8),3934,3967,4201,4670,3645,3214,3446,3603,3054,3100,2456,2547,2920,3494,2934,3958,2118,2555,3385,3690
Melibiose_2_Minor::C05402,457,579,239,289,163,223,206,223,138,194,117,234,188,266,98,108,115,169,128,255
Cyanine::,0,37476,2,31650,29934,31413,2,2,30447,28817,33340,3,2,2,2,2,2,2,32001,2
Epigallo catechin::C12136,46937,49986,43891,42383,39950,42937,37504,40757,40301,39064,43262,42902,42671,40146,39741,34667,35517,35355,42428,39656
Epigallo catechin_like,0,3,2,2,2,2,2,0,2,2,2,3,2,0,2,0,2,2,2,2
Unknown_104_Organic acid like,2,3,2,2,38620,2,35165,2,39212,2,2,41111,40211,37697,37107,30332,32118,31561,2,38438
Unknown_105_Sugar like,182,218,134,107,122,121,209,194,131,138,157,204,123,127,184,176,156,138,70,88
Kaempferol::C05903,0,40,0,50,2,43,2,49,2,46,6,51,9,44,11,3191,18,77,16,65
Unknown_106_Organic acid like,138,115,95,89,77,77,95,111,97,89,68,76,145,168,135,2,83,84,92,98
Unknown_107,442,466,347,350,297,308,380,384,352,351,277,339,549,585,478,502,327,319,319,339
Unknown_108,967,1026,829,796,922,819,790,813,663,716,697,799,1112,1194,931,1085,740,698,339,354
Unknown_109_Organic acid like,96,119,102,96,116,100,105,103,81,103,74,100,146,154,111,118,92,79,21,31
Unknown_110,1124,1144,904,896,914,866,1058,979,898,898,932,1011,1121,1143,1113,1117,960,866,1175,1223
Unknown_111,877,890,687,712,711,670,814,770,689,689,735,795,848,901,859,922,741,670,915,953
Unknown_112,1700,1867,1465,1300,1088,1203,1676,1591,1158,1195,1431,1722,1282,1273,1273,1481,1264,1256,653,731
Unknown_113_Organic acid like,50,63,36,43,20,63,36,51,39,42,71,63,47,50,49,1847,45,45,36,36
Unknown_114_Organic acid like,214,225,177,129,141,122,143,130,107,98,151,162,252,247,125,10,111,90,144,174
Raffinose::C00492,564,522,723,662,763,658,845,831,896,805,794,870,978,1054,872,1021,1216,1320,1239,1097
Unknown_115_Organic acid like,64,81,58,63,106,96,102,98,83,68,96,99,125,106,213,202,157,143,142,141
Unknown_116_Sugar phosphate like,2,3,2,3542,2,3161,2,2,2,3328,2,867,2,2,2,3977,2,2,2,3219
