"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"Betonicine"," 0.7667485"," 1.1927199"," 0.7667485"," 1.1927199"," 0.7667485","-0.9371370","-0.9371370","-0.9371370","-0.9371370","-0.9371370"
"Betaine aldehyde_+H2O","-1.2414135","-1.1605397","-0.7561705","-0.8370443"," 0.6591218"," 1.7509187"," 0.7399957","-0.2304905"," 0.8208695"," 0.2547526"
"Betaine"," 0.07260309","-0.56699556"," 0.44138069"," 1.15396657"," 2.02469145"," 0.06876166","-1.27958144","-0.34547290","-0.94985841","-0.61949515"
"Benzoic acid"," 0.5421047","-0.8131571"," 0.5421047","-0.8131571","-0.8131571","-0.8131571"," 1.2197357","-0.8131571","-0.1355262"," 1.8973666"
"ATP","-0.4123208","-0.2989680"," 0.7495453"," 0.4945015"," 2.4214989","-0.6106881","-0.8090555","-0.6673645","-0.1006006","-0.7665482"
"Asp","-1.3365635","-0.9304778"," 0.1470030","-0.3646650","-1.0265847"," 0.7615461"," 0.2593534"," 1.0471597","-0.3633114"," 1.8065401"
"Asn"," 0.10157009"," 0.81632260","-0.79187054"," 1.07024783"," 1.43702872"," 0.20502111","-0.08652267"," 0.18621184","-1.67590654","-1.26210245"
"Ascorbic acid"," 0.7289889"," 1.2339439"," 1.3234296"," 0.5340379","-0.7858762","-0.7475252","-0.6516477","-1.3675333","-0.9712395"," 0.7034215"
"Argininosuccinic acid","-0.3471619"," 1.1803504"," 1.7358094"," 0.9026209"," 0.5786031","-0.6711796","-0.8563326","-0.8100444","-0.9489091","-0.7637561"
"Arg-Glu"," 1.1503981"," 1.9276940","-0.5596531"," 0.3731021","-0.2487347"," 0.3731021","-0.2487347","-0.2487347","-1.3369491","-1.1814899"
"Arg"," 0.69902919"," 1.30688066"," 1.20557208"," 0.59772061"," 0.09117772","-0.92190806","-0.82059948"," 0.39510345","-1.42845095","-1.12452522"
"Anthranilic acid","-0.99273821"," 0.02545483"," 0.02545483"," 1.29819612","-0.99273821"," 1.29819612","-0.99273821","-0.99273821"," 0.02545483"," 1.29819612"
"AMP","-2.10901694","-0.39835883"," 0.15795275","-0.69439606","-0.27517555"," 0.57319961","-0.02086168"," 0.35266181"," 1.67787546"," 0.73611943"
